track_name,artist,album,popularity,duration_ms,genre,country
No Me Debes Nada,JERRY'S SOUND ROOM,No Me Debes Nada,0,256162,blues,CO
Bonita Así (Acoustic Version),Misael Soul,Bonita Así (Acoustic Version),0,213359,blues,CO
Cuando estoy contigo,WoundsMusic,A media luz,0,288319,blues,CO
Lo Nuestro Fue Ayer,Misael Soul,Lo Nuestro Fue Ayer,0,264400,blues,CO
The Thrill Is Gone,B.B. King,Completely Well,0,324733,blues,CO
Slightly Hung Over,Blues Delight,Rock Island Line,0,285506,blues,CO
La Despedida,Layah Noir,La Despedida,0,314447,blues,CO
Bajo Mi Piel,JERRY'S SOUND ROOM,Bajo Mi Piel,0,258925,blues,CO
Lo aprendí de tu frío,WoundsMusic,A media luz,0,317839,blues,CO
Lo Que No Volvio,Misael Soul,Lo Que No Volvio,0,252879,blues,CO
Entre la Lluvia y Tu Recuerdo,JERRY'S SOUND ROOM,Entre la Lluvia y Tu Recuerdo,0,259279,blues,CO
Donde Aun Te Nombro,Misael Soul,Donde Aun Te Nombro,0,227600,blues,CO
Tengo sed de ti,WoundsMusic,A media luz,0,286240,blues,CO
Mejor sin ti,WoundsMusic,A media luz,0,229239,blues,CO
Mas café y menos estrés - Versión Extendida,Café Maguana,Mas café y menos estrés (Versión Extendida),0,211208,blues,CO
Tu Forma de Querer,Layah Noir,Tu Forma de Querer,0,240841,blues,CO
You Get To Me,Foy Vance,From Muscle Shoals,0,240637,blues,CO
Llegué Tarde,JERRY'S SOUND ROOM,Llegué Tarde,0,242560,blues,CO
No entiendo por qué,WoundsMusic,No entiendo por qué,0,287559,blues,CO
El amor no pide,WoundsMusic,El amor no pide,0,259679,blues,CO
Se Quedo Viviendo Aqui,Misael Soul,Se Quedo Viviendo Aqui,0,233039,blues,CO
Nighthawk - Reprise,Re:um,Nighthawk (Reprise),0,191000,blues,CO
Morenita,OneTapes1950s,Morenita,0,154199,blues,CO
La Noche Más Linda del Mundo,Chacho H,La Noche Más Linda del Mundo,0,138979,blues,CO
Roto,Mensajeros 3.0,Roto,0,264839,blues,CO
Eres un 10,hollynort,Eres un 10,0,214644,blues,CO
Sin ti,WoundsMusic,Sin ti,0,256279,blues,CO
Eligete,Misael Soul,Yo Te Elegi,0,229960,blues,CO
Eres la herida más bonita,Mr. Yeff Old Soul,Eres la herida más bonita,0,269960,blues,CO
Más café y menos estrés,Café Maguana,Más café y menos estrés,0,147319,blues,CO
Alta y serena,OneTapes1950s,Alta y serena,0,204760,blues,CO
Through My Soul,Enlly,Shadows & Soul,0,210522,blues,CO
Ella Aprendio A Irse,Misael Soul,Ella Aprendio A Irse,0,204319,blues,CO
Te quiero en secreto,WoundsMusic,A media luz,0,307199,blues,CO
La Distancia Exacta,Misael Soul,La Distancia Exacta,0,222440,blues,CO
Still Got The Blues,Gary Moore,Still Got The Blues,0,370866,blues,CO
Tu Nombre en la Oscuridad,JERRY'S SOUND ROOM,Tu Nombre en la Oscuridad,0,248128,blues,CO
Ese Hombre,Layah Noir,Ese Hombre,0,341441,blues,CO
Quédate Conmigo,"SOUL ARCHIVE ROOM, Elena",Quédate Conmigo,0,247079,blues,CO
Y así empezó,WoundsMusic,Y así empezó,0,269879,blues,CO
Háblame de Ti,Layah Noir,Háblame de Ti,0,282921,blues,CO
La Noche Se Quedo Contigo,Misael Soul,La Noche Se Quedo Contigo,0,219960,blues,CO
Lo Que Dejaste en Mi Sombra,JERRY'S SOUND ROOM,Lo Que Dejaste en Mi Sombra,0,206519,blues,CO
Cocaine,Eric Clapton,Slowhand 35th Anniversary,0,221640,blues,CO
Ella Era Fuego,Javier Miguel,Ella Era Fuego,0,178120,blues,CO
Adicto a ti,Studio SC,Adicto a ti,0,228959,blues,CO
Miedos,Ander y Camus,Condiciones mentales,0,229959,blues,CO
Destino,4AMTapes,Canciones Que Me Hacen Pensar En Tí,0,211831,blues,CO
