track_name,artist,album,popularity,duration_ms,genre,country
Golden Brown - Slowed Down Version,The Stranglers,Golden Brown,0,248494,classical,CO
Wind Song,Ludovico Einaudi,Underwater,0,198649,classical,CO
Soulmate,Andrea Vanzo,Intimacy Vol. 1,0,161461,classical,CO
Vivo per lei,"Andrea Bocelli, Giorgia",Bocelli (Remastered),0,265584,classical,CO
On the Nature of Daylight,"Max Richter, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard, Chris Worsey",The Blue Notebooks (15 Years),0,371746,classical,CO
Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,FREEDOM PIANO STORIES 4,0,311106,classical,CO
Lilith,Saint Avangeline,Gardener of Eden,0,255709,classical,CO
Spring 1 - 2012,"Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre de Ridder","Recomposed By Max Richter: Vivaldi, The Four Seasons",0,151506,classical,CO
Tu Es Foutu - Radio Edit,In-Grid,Rendèz-vous (French Edition),0,218618,classical,CO
Idea 12,Gibran Alcocer,Idea 12,0,131400,classical,CO
"Suite bergamasque, L. 75: III. Clair de lune","Claude Debussy, Alice Sara Ott","Debussy: Suite bergamasque, L. 75, 3. Clair de lune",0,294960,classical,CO
"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto","Antonio Vivaldi, Adrian Chandler, La Serenissima",Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina',0,167880,classical,CO
Pachelbel: Canon and Gigue in D Major: Canon,"Johann Pachelbel, Sir Neville Marriner, Academy of St. Martin in the Fields",Pachelbel: Canon in D Major,0,300613,classical,CO
Adieux,Ludovico Einaudi,Adieux,0,175492,classical,CO
Floating in Reverie,Moayad Aljabal,Floating in Reverie,0,106000,classical,CO
Passacaglia (Piano Version),Pianovus,Passacaglia (Piano Version),0,155000,classical,CO
Divenire,"Ludovico Einaudi, Robert Ziegler, Royal Philharmonic Orchestra",Divenire (Deluxe Edition),0,402240,classical,CO
