track_name,artist,album,popularity,duration_ms,genre,country
Hell's Comin' with Me,Poor Man's Poison,Hell's Comin' with Me,0,212996,country,CO
Miles On It,"Marshmello, Kane Brown",Miles On It,0,168355,country,CO
Ordinary (feat. Luke Combs) - Live from Lollapalooza,"Alex Warren, Luke Combs",Ordinary (feat. Luke Combs) - Live from Lollapalooza,0,205467,country,CO
What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",I’m The Problem,0,184517,country,CO
Somethin' 'Bout A Woman,"Thomas Rhett, Teddy Swims",About A Woman (Deluxe),0,207794,country,CO
Your Man,Josh Turner,Your Man,0,211893,country,CO
Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over The Country Club,0,215673,country,CO
Lady,Kenny Rogers,Daytime Friends: The Very Best Of Kenny Rogers,0,231866,country,CO
I Lied to You,"Miles Caton, Sinners Movie",Sinners (Original Motion Picture Soundtrack),0,314906,country,CO
Where the Wild Things Are,Luke Combs,Gettin' Old,0,239544,country,CO
Me vs Me (Fightin' Man Blues),Aventhis,Me vs Me (Fightin' Man Blues),0,225959,country,CO
I Got Better,Morgan Wallen,I’m The Problem,0,204963,country,CO
You Should Probably Leave,Chris Stapleton,Starting Over,0,213493,country,CO
Love Somebody,Morgan Wallen,I’m The Problem,0,204828,country,CO
I'm The Problem,Morgan Wallen,I’m The Problem,0,177811,country,CO
Sleepless in a Hotel Room,Luke Combs,Sleepless in a Hotel Room,0,177674,country,CO
Islands in the Stream,"Dolly Parton, Kenny Rogers",Dolly Parton - Tour Edition,0,249106,country,CO
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),0,210950,country,CO
Wondering Why,The Red Clay Strays,Moment of Truth,0,232917,country,CO
9 to 5,Dolly Parton,9 To 5 And Odd Jobs,0,166749,country,CO
weren't for the wind,Ella Langley,still hungover,0,193666,country,CO
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,0,227195,country,CO
Providence,Poor Man's Poison,Providence,0,183533,country,CO
Life is a Highway,Rascal Flatts,Cars (Original Motion Picture Soundtrack),0,275640,country,CO
Broken Bones,KALEO,A/B,0,245960,country,CO
Fast Car,Luke Combs,Gettin' Old,0,265284,country,CO
Choosin' Texas,Ella Langley,Choosin' Texas,0,232226,country,CO
White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter,0,234049,country,CO
Work Song,Hozier,Hozier,0,229715,country,CO
Tennessee Whiskey,Chris Stapleton,Traveller,0,293293,country,CO
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),0,171291,country,CO
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,0,178205,country,CO
Coward Of The County,Kenny Rogers,Kenny,0,258733,country,CO
Far From Any Road,The Handsome Family,Singing Bones,0,166493,country,CO
The Gambler,Kenny Rogers,The Gambler,0,214880,country,CO
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,0,233456,country,CO
Last Night,Morgan Wallen,One Thing At A Time,0,163854,country,CO
In Case You Didn't Know,Brett Young,Brett Young,0,224853,country,CO
Feed the Machine,Poor Man's Poison,Feed the Machine,0,183328,country,CO
Better Me For You (Brown Eyes),Max McNown,Night Diving,0,194120,country,CO
Austin (Boots Stop Workin'),Dasha,What Happens Now?,0,171782,country,CO
Pink Skies,Zach Bryan,Pink Skies,0,194920,country,CO
One Number Away,Luke Combs,This One's for You,0,222573,country,CO
Something in the Orange,Zach Bryan,Something in the Orange,0,228013,country,CO
Think I'm In Love With You,Chris Stapleton,Higher,0,222800,country,CO
