track_name,artist,album,popularity,duration_ms,genre,country
El Metro,El Gran Maracaibo,En la Via,0,158366,cumbia,CO
Karma,CHETITOS,Karma,0,182526,cumbia,CO
Rumba Rumbero,Hielo Ardiente,"El Salvador y Su Musica 16 Exitos Tropicales, Vol. 2",0,205244,cumbia,CO
Otra Vez Diciembre (Sin Verte),Sonora Borinquen,Taxi Libre,0,216978,cumbia,CO
Niña de Piel Morena,El Cholulita y su Cumbia Poblana,Quiero Que Me Quieras,0,5313,cumbia,CO
Las Apodadas,Gildardo Montoya,"La Chiva del Año, Vol. 2",0,171676,cumbia,CO
El Porro,Jaime Llano González,Sabrosa… Música Vol. X,0,173061,cumbia,CO
Still the One,Andean Style,Love Songs,0,212076,cumbia,CO
My Savior My God,Andean Style,Tengo Fe,0,253800,cumbia,CO
Las Adivinanzas,Gildardo Montoya,Alegrando La Fiesta,0,165278,cumbia,CO
Intro,Agrupacion Ilegal Los Imparciales,Imparcial (Demo),0,28264,cumbia,CO
Corazón Corazón - Remasterizado 2018,Sonora Borinquen,Aniversario (Remasterizado 2018),0,218535,cumbia,CO
No Puedo Más,La Sandonga,Cumbia y Plena Vol. 2,0,186840,cumbia,CO
El pobre Migue,Jaime Llano González,Sabrosa… Música Vol. VI,0,130011,cumbia,CO
Pegajosas,Los Gatos Blancos,Los Gatos Blancos,0,209621,cumbia,CO
Mambo Gozalo,El Topen De Los Teclados,Vamos De Vacaciones,0,208253,cumbia,CO
Get Back,Los Hijos del sol,"Peru Salutes the World Music, Vol. 2",0,210520,cumbia,CO
Maria Tere,Jaime Llano González,Sabrosa… Música Vol. VI,0,142315,cumbia,CO
La Negra Rosa,Joaquin Bedoya,Los Tres Ases de la Música Guitarriada,0,154488,cumbia,CO
El Parlamento,Jaime Llano González,Sabrosa… Música Vol. IX,0,150857,cumbia,CO
Nuestro Secreto,Juanita Burbano,Entre Que Sí y Que No,0,175101,cumbia,CO
Mix Golden Memory,Fiebre Amarilla,Gran Reventon Salvadoreno Vol. 4,0,597446,cumbia,CO
Corazón Corazón,Sonora Borinquen,Cantándole al Amor,0,214550,cumbia,CO
No Me Tires la Primera Piedra,Sonora Palacio,Tropical Notable Total,0,291622,cumbia,CO
Solitario,Grupo Cubano Uruguay,Cuca + Cuquita = Al Cubano,0,233170,cumbia,CO
Mandame Chu Chu,Sonora Borinquen,Cantándole al Amor,0,218620,cumbia,CO
Mujer Hilandera,Andean Style,Tropical City,0,222329,cumbia,CO
Las Mañanitas de Cepillin,DCO,Feliz Día Mamá,0,144200,cumbia,CO
"19, 8",Los Walker’s de Huánuco,Electro Harmonix Presents Más Rock and Roll Vol. One,0,175853,cumbia,CO
Coco Cumbias: La Piragua,Miguel Angel Tzul y su Marimba Orquesta,Pa' Parrandear,0,27453,cumbia,CO
El Arbolito,Andean Style,Tropical City,0,228050,cumbia,CO
Que Te Lo Cuente Paco,Jaime Llano González,Sabrosa… Música Vol. IX,0,134347,cumbia,CO
Uma Carta de Amor,Mário Silva,Para Que Foi Que Casei,0,178000,cumbia,CO
Váratlanul,Up,Backup,0,270026,cumbia,CO
Che Ciudad,Grupo Amanecer,El Gigante y Su Gente,0,9320,cumbia,CO
Ilegal - En Vivo,CURAZETA,Curazeta en vivo,0,132973,cumbia,CO
Mi Viejo,DCO,Te Amo Papá,0,207106,cumbia,CO
Dejemos Que Pase - Remix,Eme Sarav,Dame Reggaeton (Remix),0,174736,cumbia,CO
Matarile Lire Ron,DCO,Exitos de la Feria,0,166426,cumbia,CO
Enamorado de Ti,Sonora Palacio,Lo Mejor,0,268600,cumbia,CO
El Negrito del Batey,El Gran Maracaibo,Haciendo Música,0,241603,cumbia,CO
Pensándolo Bien,Sonora Borinquen,La Noche,0,179535,cumbia,CO
Eres Mentirosa,Andean Style,Tropical City,0,220082,cumbia,CO
La Nona,Geminis,"100% Tropical, Vol. 3",0,196440,cumbia,CO
Sabino Flores,Combo Camagüey,"For Export, Vol.2",0,160426,cumbia,CO
Pum! Pum!,Los Gatos Blancos,Mi Espanol Es Feo,0,297000,cumbia,CO
Huracán,Jaime Llano González,Jaime Llano Gonzalez Interpreta Con Órgano Y Ritmo A Lucho Bermúdez,0,169534,cumbia,CO
Viseu,Mário Silva,Para Que Foi Que Casei,0,206333,cumbia,CO
Cigana Morena,Mário Silva,Para Que Foi Que Casei,0,245826,cumbia,CO
Ay Mami - En Vivo,Marcos da Costa,En Vivo,0,131197,cumbia,CO
