track_name,artist,album,popularity,duration_ms,genre,country
GOZALO,Ariis,GOZALO,0,113513,electronic,CO
Firestone,"Kygo, Conrad Sewell",Cloud Nine,0,271634,electronic,CO
Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,0,214883,electronic,CO
ME PROVOCAS,"Fumaratto, Valka",ORIGENES,0,293680,electronic,CO
World Hold On (Children of the Sky) - Radio Edit,"Bob Sinclar, Steve Edwards",World Hold On (Children of the Sky) [Radio Edit],0,199194,electronic,CO
HOMAGE FUNK,"KIXIA, KREZUS, Mc Kaique SP",HOMAGE FUNK,0,121771,electronic,CO
PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,0,116072,electronic,CO
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer in C,0,189413,electronic,CO
Are You With Me,Lost Frequencies,Less Is More,0,138013,electronic,CO
Vem Vem,"Jmilton, MC Xangai",Vem Vem,0,83183,electronic,CO
Levels - Radio Edit,Avicii,Levels,0,199906,electronic,CO
Ascend,Dezko,Ascend,0,200156,electronic,CO
You & Me - Rivo Remix,"Disclosure, Rivo, Eliza Doolittle",You & Me (Rivo Remix),0,208524,electronic,CO
NO BATIDÃO - Slowed,"ZXKAI, slxughter",NO BATIDÃO,0,107933,electronic,CO
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),0,145599,electronic,CO
Stereo Love - Original,"Edward Maya, Vika Jigulina",Stereo Love,0,247853,electronic,CO
In My Mind,"Dynoro, Gigi D'Agostino",In My Mind,0,184560,electronic,CO
Children,Robert Miles,Children (Dance Vault Mixes),0,243266,electronic,CO
LUNA BALA - Slowed,"Yb Wasg'ood, Ariis",LUNA BALA,0,124110,electronic,CO
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),0,140000,electronic,CO
LOS VOLTAJE,"Sayfalse, Yb Wasg'ood, Ariis",LOS VOLTAJE,0,99285,electronic,CO
Pursuit Of Happiness - Extended Steve Aoki Remix,"Kid Cudi, MGMT, Ratatat, Steve Aoki",Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)],0,373626,electronic,CO
Blessings,"Calvin Harris, Clementine Douglas",Blessings,0,219650,electronic,CO
All That She Wants,Ace of Base,The Sign,0,211213,electronic,CO
Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,0,212960,electronic,CO
Hear Me Now,"Alok, Zeeba, Bruno Martini",Hear Me Now (feat. Zeeba),0,194840,electronic,CO
ACELERADA,"sma$her, MXZI",ACELERADA,0,61269,electronic,CO
Toco el Cielo,"Manco the Sound, Yilberking",Toco el Cielo,0,317187,electronic,CO
MONTAGEM XONADA,"MXZI, Dj Samir, DJ Javi26",MONTAGEM XONADA,0,75682,electronic,CO
Waiting For Love,Avicii,Stories,0,230613,electronic,CO
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",One More Love,0,210093,electronic,CO
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),0,175238,electronic,CO
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,0,227266,electronic,CO
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),0,216933,electronic,CO
Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,0,195853,electronic,CO
"What Is Love - 7"" Mix",Haddaway,The Album,0,270373,electronic,CO
NO BATIDÃO,"ZXKAI, slxughter",NO BATIDÃO,0,89745,electronic,CO
Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),0,201000,electronic,CO
Montagem Supersonic,"KHAOS, Jmilton, Mc Jajá",Montagem Supersonic,0,87816,electronic,CO
Feel So Close - Radio Edit,Calvin Harris,18 Months,0,206413,electronic,CO
MONTAGEM RUGADA,"cape, JXNDRO, Sayfalse",MONTAGEM RUGADA,0,92384,electronic,CO
Innerbloom,RÜFÜS DU SOL,Bloom,0,578040,electronic,CO
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",0,197933,electronic,CO
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,0,212862,electronic,CO
Summer,Calvin Harris,Motion,0,222533,electronic,CO
Infinity 2008 - Klaas Vocal Edit,"Guru Josh Project, Klaas",Infinity 2008,0,192294,electronic,CO
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) [Krono Remix],0,198053,electronic,CO
MENTE MÁ,"Nakama, Mc Staff",MENTE MÁ,0,75302,electronic,CO
Forever Young,Alphaville,Forever Young,0,226706,electronic,CO
Make Me Feel,oskar med k,Make Me Feel,0,186240,electronic,CO
