track_name,artist,album,popularity,duration_ms,genre,country
Destino Final,"Yeison Jimenez, Luis Alfonso",Destino Final,0,173154,folk,CO
Nunca Niegues Que Te Amo,Los inquietos del vallenato,Presente y Futuro,0,300346,folk,CO
Tenias Razón,Yeison Jimenez,Mi Promesa (Con el Corazon),0,216315,folk,CO
Vuelve y Me Pasa,Yeison Jimenez,Con el Corazón,0,195535,folk,CO
Ni Tengo Ni Necesito,Yeison Jimenez,Quinto Elemento (Deluxe),0,201533,folk,CO
Mi Buen Amor,"Mon Laferte, Bunbury",La Trenza,0,227586,folk,CO
Chachachá,Jósean Log,Háblate de Mí,0,215986,folk,CO
Un Millón de Primaveras,Vicente Fernández,Vicente Fernandez Para Siempre,0,173080,folk,CO
Señora,"Otto Serge, Rafael Ricardo",Muy Nuestro,0,238893,folk,CO
Niña Bonita,Binomio de Oro de América,30 Mejores: Binomio de Oro de América,0,310306,folk,CO
Me Sacaron Del Tenampa - En Vivo,Yeison Jimenez,De Farra Con Yeison Jimenez (En Vivo),0,136786,folk,CO
Las Locuras Mías,Silvestre Dangond,Las Locuras Mías,0,222043,folk,CO
El Desmadre,Yeison Jimenez,El Desmadre,0,171857,folk,CO
El Mejor - Remix,"Yeison Jimenez, Chayín Rubio",El Mejor (Remix),0,210386,folk,CO
Quiero Que Seas Mi Estrella,Binomio de Oro de América,Más Cerca De Ti,0,298986,folk,CO
Me Parte El Corazón,"Daniel Calderón, Los Gigantes Del Vallenato",Aire Fresco,0,274386,folk,CO
REGALADA $ALES CARA - Remix,"Ciro Quiñonez, Luis Alfonso, Pipe Bueno, Jessi Uribe",REGALADA $ALES CARA (Remix),0,253414,folk,CO
Recuérdame,Los inquietos del vallenato,Inquietos por el Mundo,0,207880,folk,CO
Sobreviviré,Darío Gómez,El Rey del Despecho - Internacional,0,219559,folk,CO
Te Deseo Lo Mejor,Yeison Jimenez,Con el Corazón,0,215794,folk,CO
Realízame mis sueños,Binomio de Oro de América,Más Cerca De Ti,0,280173,folk,CO
Cuando Casi Te Olvidaba,Los Diablitos,Mas Vallenato,0,282827,folk,CO
No Voy A Llorar,Los Diablitos,10 Años De Historia,0,283600,folk,CO
Como Duele El Frio,Jose Luis Carrascal,Corazon Vallenato,0,298826,folk,CO
Una Hoja en Blanco,"Omar Geles, ESMERALDA OROZCO",Nace Del Alma,0,284421,folk,CO
Busca Un Confidente,Los Diablitos,Lenguaje Universal,0,246047,folk,CO
Tu Falta De Querer,Mon Laferte,Mon Laferte (Vol. 1),0,278546,folk,CO
Olvídala,Binomio de Oro de América,2.000,0,304117,folk,CO
Aventurero,Yeison Jimenez,Aventurero,0,190961,folk,CO
MLP,Yeison Jimenez,MLP,0,148975,folk,CO
Un Perro Enamorado,Yeison Jimenez,Todo de Mi (Vol. 4),0,193259,folk,CO
Mi Venganza,"Alzate, Yeison Jimenez",Mi Venganza,0,191518,folk,CO
Guaro (Remix),"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño",Guaro (Remix),0,222285,folk,CO
Por Qué la Envidia,Yeison Jimenez,Con el Corazón,0,177528,folk,CO
Vete,Yeison Jimenez,Vete,0,189025,folk,CO
Ya No Mi Amor,Yeison Jimenez,Todo de Mi (Vol. 4),0,200945,folk,CO
Maldita Traga,Yeison Jimenez,Mi Promesa (Con el Corazon),0,181522,folk,CO
Ayer Y Hoy,"La Combinación Vallenata, Jean Carlos Centeno",La Combinación Vallenata Vol.7,0,305786,folk,CO
El Embustero RMX,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,0,222893,folk,CO
Te Voy a Olvidar,Yeison Jimenez,Con el Corazón,0,212520,folk,CO
Mal Amor,Luis Alberto Posada,Mal Amor,0,161935,folk,CO
Qué Día Es Hoy,Yeison Jimenez,Con el Corazón,0,179664,folk,CO
El Mejor Caballo,Yeison Jimenez,Con el Corazón,0,161401,folk,CO
Hasta La Madre,"Yeison Jimenez, Pasabordo",Hasta La Madre,0,158160,folk,CO
Se Acabó,Yeison Jimenez,Se Acabó,0,166571,folk,CO
Tu Mal Sabor,Yeison Jimenez,Todo de Mi (Vol. 4),0,206599,folk,CO
GPS #5 - Dime Que Sí,"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,0,194880,folk,CO
Con el Corazón,"Maluma, Yeison Jimenez",Con el Corazón,0,189239,folk,CO
Amárrame,"Mon Laferte, Juanes",La Trenza,0,207333,folk,CO
Si Tu Amor No Vuelve,Binomio de Oro de América,…Que viva el vallenato!,0,294640,folk,CO
