track_name,artist,album,popularity,duration_ms,genre,country
Shdy Nate Intro,Shady Nate,The Shady Bunch Vol. 2,0,37933,hip-hop,CO
Year of the Dog,Katastrophe,The Worst Amazing,0,152160,hip-hop,CO
AUR BHAI,JK Official,AUR BHAI,0,120021,hip-hop,CO
Open Chances,"Quan Duke, Mickey Ali",N.O.A.H.,0,208500,hip-hop,CO
No Doubt,Freeway,Diamond in the Ruff,0,151111,hip-hop,CO
Deep,Bo,Deep,0,188238,hip-hop,CO
Misfits,Bo,Bo and the Stars of Electricity,0,218500,hip-hop,CO
Musca Antlia Musca (radio edit),Recyclone,Precyclone,0,209346,hip-hop,CO
Introduction à un album fort sympathique,Bo,323 Zap Shangai Baseball,0,34920,hip-hop,CO
Northstarrr - Instrumental,Lazerbeak,Hand Over Fist Instrumentals,0,150800,hip-hop,CO
Worldwide,Ruffcoin,Worldwide,0,313496,hip-hop,CO
Ns,Masteri,NS,0,217849,hip-hop,CO
The Social Hazard,BSTFRND,Healthy Space,0,144750,hip-hop,CO
Warum is des so - Instrumental,"Ansa, Svaba Ortak",Jägiritter (Instrumental),0,195592,hip-hop,CO
Я своё возьму,"ШЕFF, Буян, ТАКЕР",Новая школа,0,247797,hip-hop,CO
Fool for your love,"Bame, Jbnt",Fool for your love,0,198367,hip-hop,CO
Let the Bass Kick,Checkmate,Essential Electro Music Experience 2018,0,264470,hip-hop,CO
Hollywood,"Gorillaz, Jamie Principle, Snoop Dogg",Rescatando hits del pasado vol. 2,0,293493,hip-hop,CO
Bless Your Name,"DJ Mzenga Man, Rita Mazani",Uprising Vocalist Challenge,0,48796,hip-hop,CO
Back in the day,CY Muzik,Inner G4 Life,0,135575,hip-hop,CO
Come on Let Go - Midnight Express Easy Mix,"Checkmate, Midnight Express",Baila Fiesta (Party House Tunes),0,431420,hip-hop,CO
Changing The Locks (feat. Ashanti),"Jim Jones, Ashanti",Capo,0,136146,hip-hop,CO
Bahd Gyal Bubble,Michie Mee,Mad Rass Riddim,0,224705,hip-hop,CO
Lately,LB SPIFFY,Rap Ballads,0,163834,hip-hop,CO
Float (feat. Seun Kuti & Egypt 80),"Janelle Monáe, Seun Kuti, Egypt 80",Daily Hits,0,242166,hip-hop,CO
Passenger,"Just Us Guys, Max Reece, One Only, Reezy",Passenger,0,175229,hip-hop,CO
Special (feat. SZA),"Lizzo, SZA",HITS HITS HITS - 2024,0,174748,hip-hop,CO
Once,Masteri,Once,0,302041,hip-hop,CO
Proshno,Jamal,Chole Jabo Ekdin,0,262686,hip-hop,CO
Can't Let You Go,Ali Gatie,Día de los Enamorados,0,204156,hip-hop,CO
Da Fat Boy Dance,"Bizarre, K.b.",Blue Cheese & Coney Island,0,305906,hip-hop,CO
Function (Intro),D-Weez,WeezNotWiz Vol. 2,0,96026,hip-hop,CO
Streets On Locc (feat. Aktual),"Rich The Factor, Aktual",Rich Laden,0,220734,hip-hop,CO
Hung Up - Midnight Express & Mb da Funk Mix,"Checkmate, Midnight Express, MB Da Funk","Groove Jet, Vol. 3",0,432030,hip-hop,CO
Cool Head,"Dead Crow, CrazeTheJack",Then Stay / Cool Head,0,275227,hip-hop,CO
Витамин,BITZ,Грустный стайл,0,252523,hip-hop,CO
We Are The Stars,Bo,Bo and the Stars of Electricity,0,236875,hip-hop,CO
Love in the Air,"Marvelous Stefan, Kas, Jerm Sherman",Are You Happy?,0,159791,hip-hop,CO
Melly,Luke Vallen,Melly,0,213975,hip-hop,CO
Michael Haze - Dej Ten Kush,Vneumicky,Michael Haze - Tsunami 3,0,161619,hip-hop,CO
The Big Boss,"DJ Mzenga Man, Tommy D, B-mak",The Big Boss I,0,200045,hip-hop,CO
Idvam,Sarafa,Idvam,0,194638,hip-hop,CO
Windows Down,"Joey Phantom, Blase Groody",Windows Down,0,271000,hip-hop,CO
Lately - Sped Up,Jayy Brown,Lately,0,88730,hip-hop,CO
Misled Youth,Twan G.,Stand on Business,0,170276,hip-hop,CO
Dumbo Jet,Bo,323 Zap Shangai Baseball,0,305733,hip-hop,CO
Половина сердца,Банги Хэп,20 лет,0,188622,hip-hop,CO
For Pete's Sake,Spectacular Diagnostics,For Pete's Sake / It Takes A...,0,97142,hip-hop,CO
HAIRCUT,AG Club,Fuck Your Expectations PT. 2,0,34622,hip-hop,CO
