track_name,artist,album,popularity,duration_ms,genre,country
Chachachá,Jósean Log,Háblate de Mí,0,215986,indie,CO
For the First Time,Mac DeMarco,This Old Dog,0,182306,indie,CO
From the Start,Good Kid,From the Start,0,150047,indie,CO
Sienna,The Marías,Submarine,0,224840,indie,CO
Lovers Rock,TV Girl,French Exit,0,213920,indie,CO
Chamber Of Reflection,Mac DeMarco,Salad Days,0,231723,indie,CO
Acurrucar,Ed Maverick,mix pa llorar en tu cuarto,0,234080,indie,CO
Ropa De Bazar,"Ed Maverick, Bratty",Ropa De Bazar,0,197906,indie,CO
Blue Hair,TV Girl,Death of a Party Girl,0,217000,indie,CO
Reflections,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,0,244013,indie,CO
No One Noticed (Extended Spanish),The Marías,No One Noticed (Extended),0,284466,indie,CO
Lejos de Ti,The Marías,Submarine,0,179520,indie,CO
Daddy Issues,The Neighbourhood,Wiped Out!,0,260163,indie,CO
Siesta Freestyle,"Lewis OfMan, Alicia te quiero",Dancy Party,0,194160,indie,CO
The Adults Are Talking,The Strokes,The New Abnormal,0,309053,indie,CO
Space Song,Beach House,Depression Cherry,0,320466,indie,CO
Honeypie,JAWNY,For Abby,0,135581,indie,CO
Something About You,"Eyedress, Dent May",Mulholland Drive,0,153312,indie,CO
Lover Is a Day,Cuco,wannabewithu,0,456000,indie,CO
Snap Out Of It,Arctic Monkeys,AM,0,193030,indie,CO
My Kind of Woman,Mac DeMarco,2,0,190845,indie,CO
Not Allowed,TV Girl,Who Really Cares,0,167864,indie,CO
Take Me Out,Franz Ferdinand,Franz Ferdinand,0,237026,indie,CO
Borderline,Tame Impala,The Slow Rush,0,237800,indie,CO
The Man Who Sold The World - Live,Nirvana,MTV Unplugged In New York,0,261093,indie,CO
Heart To Heart,Mac DeMarco,Here Comes The Cowboy,0,211140,indie,CO
we fell in love in october,girl in red,we fell in love in october / October Passed Me By,0,184153,indie,CO
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],0,258773,indie,CO
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),0,301920,indie,CO
505,Arctic Monkeys,Favourite Worst Nightmare,0,253586,indie,CO
Fuentes de Ortiz,Ed Maverick,mix pa llorar en tu cuarto,0,207400,indie,CO
Beso,Jósean Log,Háblate de Mí,0,211021,indie,CO
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),0,251488,indie,CO
Doma,Jósean Log,Háblate de Mí,0,188612,indie,CO
Alguien Como Tú,Jósean Log,El Futuro No Existe,0,225746,indie,CO
Come As You Are,Nirvana,Nevermind (Remastered),0,218920,indie,CO
Boys Don't Cry,The Cure,Boys Don't Cry,0,154866,indie,CO
Cry,Cigarettes After Sex,Cry,0,256799,indie,CO
I Love You So,The Walters,I Love You So,0,160239,indie,CO
Notion,The Rare Occasions,Notion,0,195120,indie,CO
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,0,161123,indie,CO
No One Noticed,The Marías,Submarine,0,236906,indie,CO
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,0,290146,indie,CO
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),0,357266,indie,CO
Freaks,Surf Curse,Freaks,0,147062,indie,CO
The Less I Know The Better,Tame Impala,Currents,0,216320,indie,CO
Cigarettes out the Window,TV Girl,Who Really Cares,0,198960,indie,CO
No. 1 Party Anthem,Arctic Monkeys,AM,0,243131,indie,CO
Stop Crying Your Heart Out,Oasis,Heathen Chemistry,0,303133,indie,CO
Ordinary World,Duran Duran,Duran Duran,0,340200,indie,CO
