track_name,artist,album,popularity,duration_ms,genre,country
Just the Two of Us,"Grover Washington, Jr., Bill Withers",Winelight,0,443773,jazz,CO
Magalenha,Sérgio Mendes,Brasileiro,0,216933,jazz,CO
Stronger Than Me,Amy Winehouse,AMY (Original Motion Picture Soundtrack),0,214493,jazz,CO
Little L,Jamiroquai,A Funk Odyssey,0,295400,jazz,CO
Fly Me To The Moon,"Frank Sinatra, Count Basie",Ultimate Sinatra,0,147146,jazz,CO
Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong","Love, Ella",0,185160,jazz,CO
El Watusi,Ray Barretto,Charanga Moderna,0,160115,jazz,CO
I'll Be Seeing You,Billie Holiday,Billie Holiday,0,211533,jazz,CO
In A Sentimental Mood,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,0,255226,jazz,CO
My Baby Just Cares For Me,Nina Simone,Sinnerman,0,215039,jazz,CO
I Fall In Love Too Easily,Chet Baker,Chet Baker Sings,0,201440,jazz,CO
My One And Only Love,"John Coltrane, Johnny Hartman",John Coltrane And Johnny Hartman,0,295240,jazz,CO
Fly Me To The Moon,Astrud Gilberto,The Shadow Of Your Smile,0,142533,jazz,CO
Corcovado (Quiet Nights Of Quiet Stars),"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",Getz/Gilberto (Expanded Edition),0,256560,jazz,CO
Solitude,Billie Holiday,Solitude,0,207600,jazz,CO
In the Mood - Live,Glenn Miller,The Glenn Miller Carnegie Hall Concert (Live),0,209573,jazz,CO
No One's Watching Me (feat. Olivia Dean),"Ezra Collective, Olivia Dean","Dance, No One's Watching",0,262306,jazz,CO
Sunrise,Norah Jones,Feels Like Home,0,200626,jazz,CO
Blue Moon,Billie Holiday,Solitude,0,207826,jazz,CO
Blue in Green (feat. John Coltrane & Bill Evans),"Miles Davis, John Coltrane, Bill Evans",Kind Of Blue (Legacy Edition),0,337733,jazz,CO
The Girl From Ipanema,"Antônio Carlos Jobim, Frank Sinatra",Sinatra/Jobim: The Complete Reprise Recordings,0,200360,jazz,CO
Água de Beber,"Astrud Gilberto, Antônio Carlos Jobim",The Astrud Gilberto Album,0,138013,jazz,CO
You Give Me Something,Jamiroquai,A Funk Odyssey,0,199600,jazz,CO
Sofrito,Mongo Santamaria,Sofrito,0,366200,jazz,CO
Unforgettable,Nat King Cole,Unforgettable,0,191973,jazz,CO
La vie en rose - Single Version,Louis Armstrong,Satchmo Serenades,0,203760,jazz,CO
Alta y serena,OneTapes1950s,Alta y serena,0,204760,jazz,CO
From The Start,Laufey,Bewitched,0,169573,jazz,CO
Promise,Laufey,Bewitched,0,234266,jazz,CO
Bonita Bonita - 1950's Soul Jazz,Poeta Callejero,Bonita Bonita (1950's Soul Jazz),0,221904,jazz,CO
Falling Behind,Laufey,Everything I Know About Love,0,173640,jazz,CO
Oye Cómo Va,Tito Puente,El Rey Bravo,0,274018,jazz,CO
Virtual Insanity - Remastered 2006,Jamiroquai,Driving Songs,0,229360,jazz,CO
Lover Girl,Laufey,A Matter of Time,0,164400,jazz,CO
Through My Soul,Enlly,Shadows & Soul,0,210522,jazz,CO
Valentine,Laufey,Everything I Know About Love,0,168906,jazz,CO
Eligete,Misael Soul,Yo Te Elegi,0,229960,jazz,CO
I Put A Spell On You,Nina Simone,I Put A Spell On You,0,155026,jazz,CO
Take Five,The Dave Brubeck Quartet,Time Out,0,328831,jazz,CO
The Girl From Ipanema,Stan Getz,Getz/Gilberto (Expanded Edition),0,320253,jazz,CO
Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",Sinatra/Basie: The Complete Reprise Studio Recordings,0,147000,jazz,CO
Cosmic Girl - Remastered 2013,Jamiroquai,Travelling Without Moving (Remastered),0,244146,jazz,CO
Dos Gardenias,Buena Vista Social Club,Buena Vista Social Club,0,184026,jazz,CO
Fly Me To The Moon - 2008 Remastered,"Frank Sinatra, Count Basie",Nothing But The Best (2008 Remastered),0,147520,jazz,CO
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",Anthology,0,438493,jazz,CO
Garota De Ipanema,Antônio Carlos Jobim,Inédito,0,242760,jazz,CO
deep in it,"berlioz, Ted Jasper",deep in it,0,154862,jazz,CO
High No More,Hajaj,High No More,0,198845,jazz,CO
