track_name,artist,album,popularity,duration_ms,genre,country
Las Muñequitas,"Mr Plata, El Americano 4KT",Las Muñequitas,0,193800,latin,CO
AMISTA,"Blessd, Ovy On The Drums",TRINIDAD BENDITA,0,177882,latin,CO
Vete,Yeison Jimenez,Vete,0,189025,latin,CO
Verano Rosa,"KAROL G, Feid",Tropicoqueta,0,210047,latin,CO
YO y TÚ,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,0,198153,latin,CO
CHÉVERE (joesón_type_beat),ARIA VEGA,CHÉVERE (joesón_type_beat),0,189223,latin,CO
FANÁTICO,"Blessd, J Alvarez",FANÁTICO,0,235102,latin,CO
MLP,Yeison Jimenez,MLP,0,148975,latin,CO
TU VAS SIN (fav),Rels B,afroLOVA 25',0,110495,latin,CO
KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,199114,latin,CO
LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,0,196800,latin,CO
Mírame,"Blessd, Ovy On The Drums",Mírame,0,157453,latin,CO
NUEVA YORK,"Blessd, Los Money Makers, Prodmonja",TRINIDAD BENDITA,0,214542,latin,CO
DÓNDE,"Kapo, Ryan Castro",POR SI ALGUIEN NOS ESCUCHA,0,193386,latin,CO
El Beneficio De La Duda,Grupo Firme,El Beneficio De La Duda,0,245500,latin,CO
Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante (Remix),0,327488,latin,CO
El Teléfono,"Héctor ""El Father"", Wisin & Yandel",The Bad Boy,0,235626,latin,CO
444,"Yan Block, Panda Black",444,0,175280,latin,CO
Mi Venganza,"Alzate, Yeison Jimenez",Mi Venganza,0,191518,latin,CO
DIOMEDEZ,"Blessd, GeezyDee",DIOMEDEZ,0,198102,latin,CO
si te pillara,Beéle,BORONDO,0,184547,latin,CO
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,0,298130,latin,CO
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",Soltera (W Sound 01),0,142022,latin,CO
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",DeBÍ TiRAR MáS FOToS,0,235336,latin,CO
VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,156364,latin,CO
GANAS,Kris R.,GANAS,0,190843,latin,CO
Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,0,286040,latin,CO
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,237117,latin,CO
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,367725,latin,CO
Destino Final,"Yeison Jimenez, Luis Alfonso",Destino Final,0,173154,latin,CO
LA VILLA,"Ryan Castro, Kapo, Gangsta",HOPI SENDÉ,0,192111,latin,CO
"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",0,375381,latin,CO
quédate,Beéle,BORONDO,0,176481,latin,CO
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",La Plena (W Sound 05),0,150001,latin,CO
no tiene sentido,Beéle,BORONDO,0,158036,latin,CO
CHÉVERE (premium_remix),"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),0,219989,latin,CO
COQUETA,"Fuerza Regida, Grupo Frontera",MALA MÍA,0,241648,latin,CO
YOGURCITO,Blessd,BlessDeluxury,0,183535,latin,CO
EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,204768,latin,CO
SANKA,"Ryan Castro, Dongo",SENDÉ,0,155265,latin,CO
LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,242573,latin,CO
COMO OREO,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,0,195261,latin,CO
Por Qué la Envidia,Yeison Jimenez,Con el Corazón,0,177528,latin,CO
mi refe,"Beéle, Ovy On The Drums",BORONDO,0,159404,latin,CO
top diesel,Beéle,BORONDO,0,189456,latin,CO
El Mejor - Remix,"Yeison Jimenez, Chayín Rubio",El Mejor (Remix),0,210386,latin,CO
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,0,183685,latin,CO
NO ME QUIERO CASAR,Bad Bunny,nadie sabe lo que va a pasar mañana,0,225654,latin,CO
Hasta Aquí Llegué,"Nanpa Básico, Beéle",Duelo,0,188887,latin,CO
