track_name,artist,album,popularity,duration_ms,genre,country
Nothing Else Matters - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),0,388733,metal,CO
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),0,184866,metal,CO
The Emptiness Machine,Linkin Park,From Zero,0,190427,metal,CO
Take A Look Around,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,0,321040,metal,CO
Duality,Slipknot,Vol. 3: The Subliminal Verses (Special Edition),0,252613,metal,CO
Whiskey In The Jar,Metallica,Garage Inc.,0,304693,metal,CO
No More Tears,Ozzy Osbourne,No More Tears (Expanded Edition),0,444983,metal,CO
BURN IT DOWN,Linkin Park,LIVING THINGS,0,230253,metal,CO
Walk,Pantera,Vulgar Display of Power,0,315120,metal,CO
Change (In the House of Flies),Deftones,White Pony,0,299533,metal,CO
I-E-A-I-A-I-O,System Of A Down,Steal This Album!,0,188600,metal,CO
Bleed It Out,Linkin Park,Minutes to Midnight,0,164426,metal,CO
Du hast,Rammstein,Sehnsucht (Remastered 2023),0,235600,metal,CO
Enter Sandman - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),0,331560,metal,CO
Before I Forget,Slipknot,Vol. 3: The Subliminal Verses (Special Edition),0,278600,metal,CO
Seek & Destroy - Remastered,Metallica,Kill 'Em All (Remastered),0,414720,metal,CO
Sad But True - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),0,324600,metal,CO
Bodies,Drowning Pool,Sinner,0,201960,metal,CO
Breaking the Habit,Linkin Park,Meteora (Bonus Edition),0,196133,metal,CO
Deutschland,Rammstein,Rammstein,0,322339,metal,CO
Sugar,System Of A Down,System Of A Down (Bonus Pack),0,153800,metal,CO
The Beautiful People,Marilyn Manson,Antichrist Superstar,0,218826,metal,CO
You Could Be Mine,Guns N' Roses,Use Your Illusion II,0,343640,metal,CO
My Way,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,0,272973,metal,CO
You Give Love A Bad Name,Bon Jovi,Slippery When Wet (Deluxe Edition),0,222317,metal,CO
Freak On a Leash,Korn,Follow The Leader,0,255729,metal,CO
My Own Summer (Shove It),Deftones,Around the Fur,0,214760,metal,CO
The Trooper - 2015 Remaster,Iron Maiden,Piece of Mind (2015 Remaster),0,252733,metal,CO
Master Of Puppets,Metallica,Master Of Puppets (Remastered),0,515386,metal,CO
In the End,Linkin Park,Hybrid Theory (Bonus Edition),0,216880,metal,CO
Lonely Day,System Of A Down,Hypnotize,0,167906,metal,CO
Chop Suey!,System Of A Down,Toxicity,0,210240,metal,CO
Given Up,Linkin Park,Minutes to Midnight,0,189293,metal,CO
Toxicity,System Of A Down,Toxicity,0,218933,metal,CO
Numb,Linkin Park,Meteora,0,187520,metal,CO
Aerials,System Of A Down,Toxicity,0,235053,metal,CO
One,Metallica,…And Justice for All (Remastered),0,446145,metal,CO
Sonne,Rammstein,Mutter,0,272440,metal,CO
What I've Done,Linkin Park,Minutes to Midnight,0,205226,metal,CO
Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),0,213933,metal,CO
Last Resort,Papa Roach,Infest,0,199906,metal,CO
B.Y.O.B.,System Of A Down,Mezmerize,0,255466,metal,CO
Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,0,213760,metal,CO
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),0,157333,metal,CO
Break Stuff,Limp Bizkit,Significant Other,0,166706,metal,CO
Faint,Linkin Park,Meteora,0,162106,metal,CO
The Unforgiven - Remastered 2021,Metallica,Metallica (Remastered 2021),0,387160,metal,CO
Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary),0,284120,metal,CO
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),0,208960,metal,CO
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,0,282653,metal,CO
