track_name,artist,album,popularity,duration_ms,genre,country
COQUETA,"Fuerza Regida, Grupo Frontera",MALA MÍA,0,241648,pop,CO
Marlboro Rojo,Fuerza Regida,111XPANTIA,0,184173,pop,CO
Besos Usados,Andrés Cepeda,Día Tras Día,0,234506,pop,CO
Life Goes On,BTS,BE,0,207481,pop,CO
Es Por Ti,Juanes,Un Día Normal,0,250693,pop,CO
That's What I Like,Bruno Mars,24K Magic,0,206693,pop,CO
dopamina,"Peso Pluma, Tito Double P",DINASTÍA,0,185326,pop,CO
One Dance,"Drake, Wizkid, Kyla",Views,0,173986,pop,CO
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",0,220360,pop,CO
Dynamite,BTS,BE,0,199053,pop,CO
Me Voy,Julieta Venegas,Limon Y Sal,0,187520,pop,CO
Ya Me Enteré,Reik,Des/Amor,0,204173,pop,CO
La Tortura (feat. Alejandro Sanz),"Shakira, Alejandro Sanz",Fijación Oral Volumen 1 (Expanded Edition),0,216225,pop,CO
Inevitable,Shakira,Donde Estan Los Ladrones,0,192866,pop,CO
La Playa,La Oreja de Van Gogh,El Viaje de Copperpot,0,247693,pop,CO
Somewhere Only We Know,Keane,Hopes And Fears,0,237146,pop,CO
(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me,0,243880,pop,CO
UNA CERVEZA,"Fuerza Regida, Manuel Turizo",Pa las Baby's Y Belikeada,0,279275,pop,CO
Gabriela,KATSEYE,Gabriela,0,197226,pop,CO
So Easy (To Fall In Love),Olivia Dean,The Art of Loving,0,169000,pop,CO
WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!,0,196795,pop,CO
TÚ NAME,Fuerza Regida,Dolido Pero No Arrepentido,0,152078,pop,CO
Día de Enero,Shakira,Fijación Oral Volumen 1 (Expanded Edition),0,173746,pop,CO
Antología,Shakira,Pies Descalzos,0,254240,pop,CO
Soltera,Shakira,Soltera,0,214642,pop,CO
Besos En Guerra,"Morat, Juanes",Balas Perdidas,0,231532,pop,CO
POR SUS BESOS,Tito Double P,POR SUS BESOS,0,186142,pop,CO
TU SANCHO,Fuerza Regida,111XPANTIA,0,177994,pop,CO
ANSIEDAD,Fuerza Regida,111XPANTIA,0,151836,pop,CO
Frecuencia,Los Dareyes De La Sierra,Redención (Deluxe),0,190431,pop,CO
The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,0,226073,pop,CO
La Perla,"ROSALÍA, Yahritza Y Su Esencia",LUX,0,195546,pop,CO
Hasta La Madre,"Yeison Jimenez, Pasabordo",Hasta La Madre,0,158160,pop,CO
Coleccionando Heridas,"KAROL G, Marco Antonio Solís",Tropicoqueta,0,204794,pop,CO
Rosas,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,0,236506,pop,CO
EXCESOS,Fuerza Regida,Pa las Baby's Y Belikeada,0,187076,pop,CO
NUEVA VIDA,Peso Pluma,GÉNESIS,0,190680,pop,CO
Cuando Me Enamoro,"Enrique Iglesias, Juan Luis Guerra 4.40",Euphoria,0,200586,pop,CO
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,0,233478,pop,CO
Dueles,Jesse & Joy,Un Besito Más,0,247640,pop,CO
No Se Va,Morat,Balas Perdidas,0,216752,pop,CO
Cuando Nadie Ve,Morat,Balas Perdidas,0,219586,pop,CO
Corazón,Danny Ocean,Babylon Club,0,163411,pop,CO
Caraluna,Bacilos,Caraluna,0,266160,pop,CO
Te Mando Flores,Fonseca,Corazón,0,228680,pop,CO
HOLLYWOOD,"Peso Pluma, Estevan Plazola",HOLLYWOOD,0,284864,pop,CO
Yellow,Coldplay,Parachutes,0,266773,pop,CO
Robarte un Beso,"Carlos Vives, Sebastian Yatra",VIVES,0,194742,pop,CO
