track_name,artist,album,popularity,duration_ms,genre,country
Así Es el Amor,Esteban,Recopilación Esteban,0,167836,r-n-b,CO
My True Confession (Remastered 2014),Brook Benton,"Three of a Kind: The Clovers, The Penguins, Brook Benton",0,155133,r-n-b,CO
Someday You'll Want Me,Smiley Lewis,Nostalgic Dreams,0,131938,r-n-b,CO
Give Me Your Word,Billy Fury,Wondrous Place: The Billy Fury Collection,0,147306,r-n-b,CO
What Have They Done to the Rain,The Searchers,Hearts In Their Eyes,0,152320,r-n-b,CO
The Cha Cha Cha,Bobby Rydell,Four Classic Albums Plus (We Got Love / Bobby Sings - Bobby Swings / Salutes the Great Ones / All the Hits) (Digitally Remastered),0,151080,r-n-b,CO
New Orleans,Dr. John,The Essential Recordings,0,112386,r-n-b,CO
Vuelve Regresa,Alberto Vazquez,"Joyas Musicales: Baladas, Vol. 1 – Tarde O Temprano",0,179510,r-n-b,CO
Something Got Me Started,Simply Red,hits of the 90's,0,240706,r-n-b,CO
It's Just a House Without You (Remastered 2014),Brook Benton,"Three of a Kind: The Clovers, The Penguins, Brook Benton",0,149626,r-n-b,CO
I Got You Babe,Sonny & Cher,Heavy Rotation - The Greatest Radio Hits of All Time,0,190080,r-n-b,CO
Not Like a Brother,Jimmy Clanton,"Essential Classics, Vol. 127: Jimmy Clanton",0,142679,r-n-b,CO
Aquarius,Cilla Black,Innocence of the 60s,0,159933,r-n-b,CO
on Bended Knees (Original Mix),"Clarence ""Frogman"" Henry",But I Do,0,106788,r-n-b,CO
Groovin',The Young Rascals,Innocence of the 60s,0,151289,r-n-b,CO
Without You,Cilla Black,Classic Pop Ballads,0,181773,r-n-b,CO
Caldonia's Party,Smiley Lewis,One Night,0,131173,r-n-b,CO
Open up the Red Box,Simply Red,Choose 80's - Pop,0,236360,r-n-b,CO
Harlem Nocturne,Johnny Otis,Lonely Beat (Thriller Jazz),0,181933,r-n-b,CO
Don't Look at Me,Jimmy Clanton,"Essential Classics, Vol. 127: Jimmy Clanton",0,134242,r-n-b,CO
I'll Make It up All up to You (Mono),Gerry & The Pacemakers,Que vienen los Rockers!,0,163493,r-n-b,CO
Only Your Love,Brook Benton,Two of a Kind: Brook Benton & Dee Clark,0,155666,r-n-b,CO
Are You Lonesome Tonight?,Brian Hyland,Love Me Tender,0,168649,r-n-b,CO
The Hymn I Knew as a Boy,The Ravens,Raven Country,0,186320,r-n-b,CO
Love of the Loved,Cilla Black,Early British Pop,0,124386,r-n-b,CO
Float (feat. Seun Kuti & Egypt 80),"Janelle Monáe, Seun Kuti, Egypt 80",Daily Hits,0,242166,r-n-b,CO
Granny Fagan's / Kerfunken / Lilting Banshee (Jigs),Johan de Wal,"Tenor Banjo, Sets & Tunes - Part B",0,115957,r-n-b,CO
A Ti Violín,Esteban,Recopilación Esteban,0,294347,r-n-b,CO
Life In a Northern Town,The Dream Academy,Babooshka - 80's Pop Ballads,0,256346,r-n-b,CO
Cara Sucia,Esteban,Recopilación Esteban,0,333113,r-n-b,CO
G.H.E.T.T.O.U.T.,Changing Faces,90s Soul,0,264960,r-n-b,CO
Baby Don't Go,Sonny & Cher,El Sonido de California,0,190560,r-n-b,CO
Lady Luck,Lloyd Price,The Best of Lloyd Price,0,137066,r-n-b,CO
In Love Again,Gene Pitney,Twenty Four Hours From Tulsa,0,172986,r-n-b,CO
Revenge,Brook Benton,The Best Of,0,148760,r-n-b,CO
Lucy,Gene Chandler,Romantic Dreams,0,200786,r-n-b,CO
Stars,Simply Red,Old Romantic Rhythms,0,248599,r-n-b,CO
Make Me Feel,Janelle Monáe,R'n'B Esencial,0,194230,r-n-b,CO
60 Minute Man,Billy Ward & The Dominoes,Two of a Kind: The Penguins & Billy Ward and His Dominoes,0,145763,r-n-b,CO
4 da manhã,UM44K,4 da manha: O melhor do R&B Pop,0,216428,r-n-b,CO
Wedding Bells,Jimmy Clanton,The Jimmy Clanton Collection 1957-62,0,126240,r-n-b,CO
Love Is A Many-Splendored Thing,Brook Benton,This Is Brook Benton,0,148600,r-n-b,CO
Lawdy Miss Clawdy,Larry Williams,"Les idoles américaines du rhythm and blues : Larry Williams, Vol. 1",0,133520,r-n-b,CO
I Love You for Sentimental Reason,Smiley Lewis,Nostalgic Dreams,0,150820,r-n-b,CO
Take Good Care of My Baby,Adam Faith,For You,0,157560,r-n-b,CO
Big City Drag,Bill Doggett,Bill Doggett - The Best Of,0,145013,r-n-b,CO
Foxhunter's (Single Reel),Johan de Wal,Johan's Tenor Banjo Sets & Tunes Album 2,0,56424,r-n-b,CO
Listen to Me (Mono Version),The Searchers,Hearts In Their Eyes,0,129919,r-n-b,CO
