track_name,artist,album,popularity,duration_ms,genre,country
La Carta Magna,El Barbero,"Mente Abierta, Pensamiento Crítico",0,310000,reggaeton,CO
Postdata; Venezuela,El Barbero,"Mente Abierta, Pensamiento Crítico",0,255006,reggaeton,CO
Vista Periférica,El Barbero,"Mente Abierta, Pensamiento Crítico",0,193333,reggaeton,CO
Mas Suave,Servando & Florentino,Pop en Tu Idioma 2: Los Mejores Nº1,0,238066,reggaeton,CO
Intervencion Hablada 2,Alex Gargolas,Gargolas 2: El Nuevo Comando Segundo Ataque,0,18468,reggaeton,CO
Saca la 9 - Live,The Noise,The Noise Live 2: Anniversary: Centro de Convenciones,0,23431,reggaeton,CO
Saca la 9 - Live,"The Noise, 魚高ミチル",Live 2: Anniversary - Centro de Convenciones,0,23431,reggaeton,CO
Filete,Grupo C4,C4 (Remastered),0,204613,reggaeton,CO
Medio friends,Danny Ocean,Joyas Perdidas,0,149834,reggaeton,CO
No Necesito Mas,Chriss Romel,No Necesito Mas,0,231240,reggaeton,CO
Desde el Nido,El Barbero,"Mente Abierta, Pensamiento Crítico",0,235400,reggaeton,CO
Kamikaze,El Barbero,"Mente Abierta, Pensamiento Crítico",0,251072,reggaeton,CO
Alabarte,Corban Urban,En Su Presencia,0,183275,reggaeton,CO
Que triste,"Piso 21, Carín León",Fan de su relación,0,226339,reggaeton,CO
