track_name,artist,album,popularity,duration_ms,genre,country
Creep,Radiohead,Pablo Honey,0,238640,rock,CO
Enter Sandman - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),0,331560,rock,CO
Trátame Suavemente - Remasterizado 2007,Soda Stereo,Soda Stereo (Remastered),0,200800,rock,CO
En algún lugar,Duncan Dhu,El Grito Del Tiempo,0,235626,rock,CO
Afuera,Caifanes,El Nervio Del Volcan,0,288600,rock,CO
Thunderstruck,AC/DC,The Razors Edge,0,292333,rock,CO
Frances Limon,Los Enanitos Verdes,Amores Lejanos,0,317320,rock,CO
Come As You Are,Nirvana,Nevermind (Remastered),0,218920,rock,CO
Clavado en Un Bar,Maná,Sueños Líquidos,0,310813,rock,CO
Africa,TOTO,Toto IV,0,295282,rock,CO
Lonely Day,System Of A Down,Hypnotize,0,167906,rock,CO
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),0,160133,rock,CO
El lado oscuro,Jarabe De Palo,La Flaca,0,288053,rock,CO
Lamento Boliviano,Los Enanitos Verdes,Big Bang,0,222226,rock,CO
Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo,Nada Personal (Remastered),0,229160,rock,CO
Dream On,Aerosmith,Aerosmith,0,267596,rock,CO
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),0,251488,rock,CO
November Rain,Guns N' Roses,Use Your Illusion I,0,536066,rock,CO
Numb,Linkin Park,Meteora,0,187520,rock,CO
Another One Bites The Dust - Remastered 2011,Queen,The Game (2011 Remaster),0,214653,rock,CO
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,0,273480,rock,CO
Maldito duende,Heroes Del Silencio,Senderos De Traición - Edición Especial,0,253186,rock,CO
The Less I Know The Better,Tame Impala,Currents,0,216320,rock,CO
Bendita Tu Luz,"Maná, Juan Luis Guerra 4.40",Amar Es Combatir,0,264720,rock,CO
Rayando el Sol,Maná,Falta Amor,0,250106,rock,CO
Iris,The Goo Goo Dolls,Dizzy up the Girl,0,289533,rock,CO
Chop Suey!,System Of A Down,Toxicity,0,210240,rock,CO
Somewhere Only We Know,Keane,Hopes And Fears,0,237146,rock,CO
En El Muelle de San Blas,Maná,Sueños Líquidos,0,352160,rock,CO
Devuélveme a mi chica,Hombres G,Hombres G (Edición 30 Aniversario),0,194080,rock,CO
Oye Mi Amor,Maná,¿Dónde Jugarán Los Niños?,0,263306,rock,CO
Flaca,Andrés Calamaro,Alta Suciedad,0,277653,rock,CO
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,0,356066,rock,CO
La flaca,Jarabe De Palo,La Flaca,0,261200,rock,CO
Para No Verte Más,La Mosca,Visperas De Carnaval,0,191560,rock,CO
Es Por Ti,Juanes,Un Día Normal,0,250693,rock,CO
Do I Wanna Know?,Arctic Monkeys,AM,0,272394,rock,CO
In the End,Linkin Park,Hybrid Theory (Bonus Edition),0,216880,rock,CO
I Was Made For Lovin' You,KISS,Dynasty,0,271240,rock,CO
Tren Al Sur,Los Prisioneros,Corazones,0,336933,rock,CO
Eres,Café Tacvba,Cuatro Caminos,0,267600,rock,CO
Toxicity,System Of A Down,Toxicity,0,218933,rock,CO
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),0,268426,rock,CO
Mujer Amante,Rata Blanca,"Magos, Espadas Y Rosas",0,363120,rock,CO
Labios Compartidos,Maná,Amar Es Combatir,0,317626,rock,CO
De Música Ligera - Remasterizado 2007,Soda Stereo,Canción Animal (Remastered),0,212746,rock,CO
Bring Me To Life,Evanescence,Fallen,0,235893,rock,CO
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),0,301920,rock,CO
Highway to Hell,AC/DC,Highway to Hell,0,208110,rock,CO
Persiana Americana - Remasterizado 2007,Soda Stereo,Signos (Remastered),0,292266,rock,CO
