track_name,artist,album,popularity,duration_ms,genre,country
La Llorona Loca,Checo Acosta,"Checo en Su Salsa ""Lo Mejor y Lo Nuevo""",0,275696,salsa,CO
Óyeme Aggayu - Remastered,Celia Cruz,Yembe Laroco (Remastered),0,165964,salsa,CO
Sin Fecha de Expiracion,Mucho Manolo,Sin Fecha de Expiracion,0,235853,salsa,CO
Directo -Pista,Richard Cepeda,Unico,0,273449,salsa,CO
Cucaracha,KLC Clave Cubana,Latin Hits Miami: Summer Club Edition,0,270002,salsa,CO
Unión Cienfueguera,Orquesta Aragón,Orquídea de Plata,0,176680,salsa,CO
Eres la Luz Divina,Johnny El Bravo,Llena Tu Boca de Risa,0,234880,salsa,CO
Palo Mayimbe - Remastered,Celia Cruz,Changó Ta' Vení (Remastered),0,154845,salsa,CO
Isora Club,Orquesta Aragón,Orquídea de Plata,0,181106,salsa,CO
Presentación del Concierto,"Bobby Cruz, Ricardo Ray, Richie Ray, Luisito Carrion, Pedro Brull, Wille Colon, Marc Anthony, Bobby Valentin, Héctor Lavoe, Johnny Pacheco",40 Aniversario: EN VIVO,0,19783,salsa,CO
Pa Toto,Checo Acosta,"Colombia de Exportación Tropical, Vol. 3",0,313097,salsa,CO
Tu Misericordia,Johnny El Bravo,Llena Tu Boca de Risa,0,230226,salsa,CO
Que La Disco - Radio Edit,Ciclon Cubano,"Dance to Be Free, Vol. 2",0,217585,salsa,CO
Super Tambor,Miguel Ángel,Ser Libre,0,229356,salsa,CO
Sin Miedo,Hernán De Arco,Hernán de Arco,0,208822,salsa,CO
Been There Done That,Miguel Ángel,Eden,0,218070,salsa,CO
Corazon Herido,Orquesta La Unica,Exitos Bailables,0,207080,salsa,CO
Boogaloo Loo,Pete Terrace,Jet Set - 50 Vintage Tracks for the Perfect Vacation Getaway,0,192874,salsa,CO
Intro-Flamenco,Noemi Prado,Tu Amor Me Conmueve,0,17017,salsa,CO
Somos de Calle,KLC Clave Cubana,30 Latino Forever Hits,0,250960,salsa,CO
Que La Disco,Ciclon Cubano,Copacabana: Modern Latin Vibes for the Party on the Beach,0,217585,salsa,CO
Cómo Corre el Río,Johnny El Bravo,Llena Tu Boca de Risa,0,207640,salsa,CO
Tres Lindas Cubanas,Orquesta Aragón,100 Clásicas Cubanas 1900-2000: Vol. 4,0,180746,salsa,CO
El Guacamayo,Checo Acosta,Bailoteca y Mas...2017,0,303647,salsa,CO
Fiesta,KLC Clave Cubana,Latino Is Latino! (Los Mejores del Mundo Latino),0,251013,salsa,CO
Bodas de Oro,Orquesta Aragón,Orquídea de Plata,0,187720,salsa,CO
Esto Tiene Algo,"KLC Clave Cubana, El Micha",El Ritmo de la Vida Reggaeton And Latin Sounds Selection (feat. Gerardina Trovato),0,242691,salsa,CO
La Nina Quiere - Original Mix,"Ciclon Cubano, Randy Charanga Habanera",Tacata Summer Fiesta Compilation,0,190000,salsa,CO
La Palabra Correrá,Johnny El Bravo,Llena Tu Boca de Risa,0,198893,salsa,CO
Pafata,Los 4,Latino 39 - Salsa Bachata Merengue Reggaeton (Latin Hits),0,255733,salsa,CO
La Razon,"David Calzado y su Charanga Habanera, El Kamel","Salsa - Fiesta de Verano, Vol. 3",0,252631,salsa,CO
Quiero,Hernán De Arco,Urbano,0,188493,salsa,CO
Cero Penas,Orquesta Aragón,Orquídea de Plata,0,168493,salsa,CO
Amandonos,Mario Crespo Martinez,Disco Festa,0,228826,salsa,CO
Gracias Señor,Johnny El Bravo,Llena Tu Boca de Risa,0,179240,salsa,CO
Happy Birthday,Maribel Rodriguez,The Sun Will Shine Again,0,203760,salsa,CO
Qué Bien Estamos,Orquesta Aragón,Orquídea de Plata,0,193746,salsa,CO
Que la Disco,Ciclon Cubano,Zumbamania Latin Compilation Vol. 2,0,217585,salsa,CO
