track_name,artist,album,popularity,duration_ms,genre,country
GOZALO - Slowed,Ariis,GOZALO,0,120263,soul,CO
Part-Time Lover,Stevie Wonder,In Square Circle,0,252560,soul,CO
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,0,151666,soul,CO
A Couple Minutes,Olivia Dean,The Art of Loving,0,212000,soul,CO
Colors,Black Pumas,Black Pumas,0,246586,soul,CO
Treme o Bumbum,Mc Leléto,Treme o Bumbum,0,150802,soul,CO
GLORY,Ogryzek,GLORY,0,149522,soul,CO
RITMO DE VERAO - SLOWED,"GXMZ, SEKIMANE, Repsaj",RITMO DE VERAO,0,99194,soul,CO
Amor de Verdade,"MC Kekel, MC Rita",Amor de Verdade,0,197333,soul,CO
DOORS LIGHT FUNK - SLOWED,"DJ VTTT77, DJ VYZ, Mc Rd",DOORS LIGHT FUNK,0,103495,soul,CO
Dark Red - Funk,"ZMAJOR, dearukia, SEKIMANE, zxnc",Dark Red (Funk),0,104879,soul,CO
One And Only,Adele,21,0,348226,soul,CO
Baby Steps,Olivia Dean,The Art of Loving,0,197000,soul,CO
MONTAGEM VOZES TALENTINHO - Super Slowed,"heapper, DJ JUAN, Mc Luizinho",MONTAGEM VOZES TALENTINHO,0,101928,soul,CO
The Hardest Part,Olivia Dean,Messy,0,176048,soul,CO
THE BOX MEDLEY FUNK 2,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",THE BOX MEDLEY FUNK 2,0,266666,soul,CO
Automotivo da Turbulencia,"Mc Oliver, MC ZKW, DJ RD DA DZ7, DJ VYZ",AUTOMOTIVO DA TURBULENCIA,0,132922,soul,CO
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,0,176333,soul,CO
MEMORIZING,"DJ DELACROIX, OXXED, Wintherduud",MEMORIZING,0,99279,soul,CO
Alta y serena,OneTapes1950s,Alta y serena,0,204760,soul,CO
I'd Rather Go Blind,Etta James,Tell Mama,0,156653,soul,CO
Chasing Pavements,Adele,19,0,210506,soul,CO
I've Seen It,Olivia Dean,The Art of Loving,0,126000,soul,CO
Tieduprightnow,Parcels,Tieduprightnow,0,249956,soul,CO
Vem Quebrando,"Mc Danone, DJ THG, Dj Hm Oliveira, A2M PRODUTORA",Vem Quebrando,0,148615,soul,CO
NO BATIDÃO - Super Slowed,"ZXKAI, slxughter",NO BATIDÃO,0,117223,soul,CO
Fendi 2,"Rakhim, Khim, ayv1o",Fendi 2,0,90526,soul,CO
MONTAGEM BATCHI,"MXZI, Rushex, MONTAGEM",MONTAGEM BATCHI,0,79151,soul,CO
MONTAGEM BAILÃO,"Repsaj, MXZI, ATLXS, Mc Jhey",MONTAGEM BAILÃO,0,103727,soul,CO
LUA NA PRAÇA,"Dj Samir, DJ Zarek, DJ DUDA, LUNxdiE",LUA NA PRAÇA,0,88641,soul,CO
DIA DELÍCIA,"Nakama, ΣP",DIA DELÍCIA,0,75461,soul,CO
So Easy (To Fall In Love),Olivia Dean,The Art of Loving,0,169000,soul,CO
VAI VAI TRAIR,DJ Asul,VAI VAI TRAIR,0,90351,soul,CO
Let's Groove,"Earth, Wind & Fire",Raise!,0,339018,soul,CO
Man I Need,Olivia Dean,Man I Need,0,184000,soul,CO
Bad Dreams,Teddy Swims,I've Tried Everything But Therapy (Part 2),0,184577,soul,CO
GOZALO (Ultra Slowed),Ariis,GOZALO (Ultra Slowed),0,145716,soul,CO
envy - slowed,slxughter,envy,0,126401,soul,CO
CLIMA LINDO - SLOWED,"GXMZ, Repsaj",CLIMA LINDO,0,81995,soul,CO
Bumbum granada,"MC's Zaac, Jerry Smith",Bumbum granada,0,187461,soul,CO
From The Start - Funk,"-Prey, ZMAJOR, zxnc, Emrld!",From The Start (Funk),0,78620,soul,CO
I Just Called To Say I Love You,Stevie Wonder,At The Close Of A Century,0,262240,soul,CO
Funk de Beleza - Slowed,"Nateki, Scythermane, MC MAYAH",Funk de Beleza,0,145115,soul,CO
Ain't No Sunshine,Bill Withers,Just As I Am,0,126458,soul,CO
Nice To Each Other,Olivia Dean,Nice To Each Other,0,209000,soul,CO
Dive,Olivia Dean,Messy,0,200759,soul,CO
Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps",Papaoutai (Afro Soul),0,280033,soul,CO
VOCE NA MIRA - Slowed,"Hwungii, DJ VGK1",VOCE NA MIRA,0,170919,soul,CO
GOZALO - Super Slowed,Ariis,GOZALO,0,127414,soul,CO
Let Alone The One You Love,Olivia Dean,The Art of Loving,0,186000,soul,CO
