track_name,artist,album,popularity,duration_ms,genre,country
Bluestrips,Trap Beats,Dripp,0,143404,trap,CO
Tormenta,"Keyax, Yung Petrikov",Tormenta,0,194220,trap,CO
La Matanza,"CXLEGA, floyd bm",La Matanza: Mixtape,0,143292,trap,CO
I Love You Bitch,Lizzo,R&B on the Road,0,148490,trap,CO
2Glock's,"Bredboyy, PJL GB, fleepo, Kantheboy",2Glock's,0,130720,trap,CO
Summer 2k24,"ProdByKain, K4pel",COUNTDOWN II,0,190909,trap,CO
Ride Wit Me - Instrumental,IDS,Ride Wit Me (Instrumental),0,176363,trap,CO
The Box,Roddy Ricch,21st Century Hip Hop,0,196652,trap,CO
Dose,RICE / DJ Bucket,Dose,0,276000,trap,CO
Living Life,"Classe Beats, CG Beats",Living Life,0,165925,trap,CO
Duel,Biz,Big Horn Trap,0,229087,trap,CO
Kotazen,Classe Beats,Kotazen,0,179200,trap,CO
Drank in My Cup,"Kirko Bangz, Mike D",Energy Club,0,192773,trap,CO
Hands Up,Stunthard Buda,Perfect Timing,0,167158,trap,CO
For Your Life - Instrumental,IDS,Hot Chocolate (Instrumental),0,158400,trap,CO
Time,Dmajormusic,"Major Vibes, Vol. 4",0,147000,trap,CO
Drip Barrimore - Instrumental Type Beat,Wudo Beatz,"Trap Drip & Drill Type Beat, Vol. 5",0,209477,trap,CO
Wednesday,TYPEBEATZ,Wednesday,0,126545,trap,CO
OVO,Classe Beats,OVO,0,198619,trap,CO
Wave,Classe Beats,Wave,0,202105,trap,CO
Thunder Rain & Storm - Instrumental Version,BassEQ,Prelax,0,197940,trap,CO
Серцем,SAKRAL,Найтепліша Темінь,0,169705,trap,CO
Bottle of Drugs,Ego,Bottle of Drugs,0,175040,trap,CO
Kicks Ii,"Keyax, Luso",Relief,0,159562,trap,CO
I Know You Want It,Khia,Don't Trust No Niggas,0,175133,trap,CO
Yeah Man,Paco,Borderland: Music from the Original Motion Picture,0,222226,trap,CO
Street Life,Dmajormusic,"Major Vibes, Vol. 9",0,158117,trap,CO
Vibration,Eternity X,Vibration,0,186666,trap,CO
Gin,Redrum,Gin,0,249600,trap,CO
Mirrors,RTL.Bluuwoods,Industry.,0,262388,trap,CO
LUCO,Sarach,LUCO,0,162974,trap,CO
Special (feat. SZA),"Lizzo, SZA",Summer Office DJ,0,174748,trap,CO
Bricket,Redrum,Bricket,0,262564,trap,CO
CARAMELORARO,Sadnoi,SADPACK OLD FiLES,0,159583,trap,CO
Me Voi,"FLOYD BM, Reek",Good Morning,0,70000,trap,CO
Cant Stop,"Trap Beats, Drill Beats, Beat Demonz",Double Trouble,0,144335,trap,CO
Ibaraki,Biz,Ibaraki,0,214259,trap,CO
Told You,"Tatchy, Classe Beats, Rizzo8",Told You,0,182278,trap,CO
Wandering Soul,"Tatchy, Classe Beats",Wandering Soul,0,187972,trap,CO
Moodshift,Eternity X,Moodshift,0,154435,trap,CO
NANi,Saweetie,Top Hits Heaven,0,154991,trap,CO
Sl*t Him Out,Baby Tate,Cultura Hip-Hop,0,172248,trap,CO
Good as Hell - Bad Royale Remix,"Lizzo, Bad Royale",WOW! the tens,0,213600,trap,CO
Draai het op me,"Rasskulz, Gimmz",Kick Het Nog Steeds,0,128000,trap,CO
TENGO EL FUEGO,Sadnoi,SADPACK OLD FiLES,0,173584,trap,CO
Guitar Summer - Instrumental,Sukiyaki Beats,Rap Caviar Beats (Instrumental),0,161333,trap,CO
Back To The Future,"Tatchy, Classe Beats",Back To The Future,0,160958,trap,CO
Buenos Diás,"FLOYD BM, Reek",Good Morning,0,111589,trap,CO
