track_name,artist,album,popularity,duration_ms,genre,country
La Llorona Loca,Checo Acosta,"Checo en Su Salsa ""Lo Mejor y Lo Nuevo""",0,275696,vallenato,CO
Pa' los Gaiteros - Folklor,Checo Acosta,Pal´ Desorden,0,239490,vallenato,CO
La Mona En Carnaval,Juan Piña,Aqui Esta,0,198080,vallenato,CO
Ay Tana,Juan Piña,"Made In Colombia: Tropical, Vol. 28",0,217678,vallenato,CO
A Barranquilla,Juan Piña,Tropiteca: La Cumbia Cienaguera,0,325944,vallenato,CO
El Helado de Leche y Santa Marta,Juan Piña,"Made In Colombia: Tropical, Vol. 21",0,227944,vallenato,CO
El Guayabo de la Ye,Juan Piña,Carnaval de Barranquilla: Ay Cosita Linda,0,199071,vallenato,CO
El Nuevo Cumbion del Junior,Juan Piña,"Made In Colombia: Tropical, Vol. 14",0,227080,vallenato,CO
La Tranca,Juan Piña,Aqui Esta,0,254786,vallenato,CO
El Lupilú,Juan Piña,Así Viene,0,191720,vallenato,CO
La Hora Loca,Juan Piña,Pa' los Carnavales / La Puya Loca,0,212986,vallenato,CO
"El Chivo Mono, Linda Trigueña",Checo Acosta,Candelazos,0,214273,vallenato,CO
La Mona en Carnaval,Juan Piña,"Made In Colombia: Tropical, Vol. 28",0,198080,vallenato,CO
El Guacamayo,Checo Acosta,Bailoteca y Mas...2017,0,303647,vallenato,CO
La Gran Dedicación,Ivan Villazon,Recopilación Alberto Santos Romero,0,299792,vallenato,CO
Pa Toto,Checo Acosta,"Colombia de Exportación Tropical, Vol. 3",0,313097,vallenato,CO
Land,"Ernesto Mendoza, Zyanya C",Of The Sky Will Fall Leaves,0,450480,vallenato,CO
El Perro Negro,Juan Piña,"Made In Colombia: Tropical, Vol. 28",0,199523,vallenato,CO
